Feature	Gain	Cover	Frequency
ctrx_quarter	0.25591411640993	0.0236630705272757	0.0207444286391655
mpasivos_margen	0.0763704687118261	0.0150260970907812	0.0234708392603129
mpayroll	0.06705383770237	0.0436774886275324	0.0215742057847321
mcuentas_saldo	0.065590745913818	0.0454825647386007	0.0459933617828355
cpayroll_trx	0.0512870666799478	0.0207967848934511	0.00806069227121859
mcaja_ahorro	0.0407534983651007	0.0138298517629143	0.0229966808914177
mtarjeta_visa_consumo	0.0393291556182431	0.0190971380631575	0.0233522996680891
mprestamos_personales	0.0355614538125091	0.0368898385617935	0.018018018018018
mrentabilidad_annual	0.0322811029878413	0.0396667451040622	0.0481270744428639
mcomisiones_mantenimiento	0.0226149646831218	0.0163368065917935	0.0164770033191086
cprestamos_personales	0.018849811478711	0.0126555715346356	0.00746799431009957
Visa_mpagominimo	0.0140914012520539	0.0202842792249287	0.026434329065908
mactivos_margen	0.0140841827918917	0.0309788794590238	0.0283309625414889
cdescubierto_preacordado	0.0137978560182676	0.0266554796350462	0.0105500237079184
mcuenta_corriente	0.0132209795632191	0.0221998016330897	0.0229966808914177
ctarjeta_debito_transacciones	0.0120929901085256	0.0083719961094384	0.0129208155523945
mrentabilidad	0.0120749194749435	0.0185348325794478	0.0239449976292082
ctarjeta_visa	0.0106100845803974	0.0112358944641229	0.00521574205784732
cproductos	0.0105743408567605	0.0144762315694657	0.0128022759601707
ctarjeta_visa_transacciones	0.0092370388874153	0.0109425282316674	0.0154101469890944
Master_fechaalta	0.00863338927326359	0.0253075221849504	0.0284495021337127
ccajas_consultas	0.00787105866413478	0.0227481005024695	0.00699383594120436
Visa_fechaalta	0.00782902613161936	0.025584822241943	0.0206258890469417
cliente_edad	0.00681221298333638	0.0144141463255785	0.0235893788525368
Visa_msaldototal	0.00634954476000626	0.0138751594434696	0.0136320531057373
ctarjeta_master	0.00610301186222769	0.00632159509423515	0.00474158368895211
Visa_msaldopesos	0.00608096122420074	0.0144736897566312	0.01683262209578
Master_status	0.00576350436073516	0.00595881392490757	0.00320056899004267
Master_Fvencimiento	0.00560980338089425	0.0128489651243509	0.0195590327169275
ccaja_seguridad	0.00474772633620343	0.0110606772341105	0.00308202939781887
Visa_mconsumospesos	0.00461021778569308	0.0116349510860092	0.0226410621147463
Visa_cconsumos	0.00426631722157372	0.010569779639055	0.0163584637268848
mcomisiones_otras	0.00417948850110057	0.00972153086896604	0.0128022759601707
ccomisiones_otras	0.0040692734059736	0.0115046258942019	0.0160028449502134
Visa_Fvencimiento	0.00401947029582509	0.00729786170821258	0.0141062114746325
mcuenta_debitos_automaticos	0.00393692894056784	0.0142684849967952	0.010194404931247
chomebanking_transacciones	0.00391898902697169	0.00772922120096351	0.0129208155523945
numero_de_cliente	0.00381126544080494	0.00898750647835887	0.0176623992413466
ccomisiones_mantenimiento	0.00376219963406763	0.00352516401899914	0.00308202939781887
thomebanking	0.00369687529608773	0.00722186043871295	0.00817923186344239
mautoservicio	0.00362872954141846	0.0172931436879495	0.0184921763869132
Master_mfinanciacion_limite	0.00357150273053139	0.00848597536650849	0.015647226173542
cmobile_app_trx	0.00347787161873252	0.00939870465274683	0.00841631104789
tcallcenter	0.00335007891171799	0.00819255051782402	0.0042674253200569
cliente_antiguedad	0.00317099466753122	0.00844414202970171	0.0144618302513039
mcomisiones	0.00300809192602892	0.00810532956924068	0.0118539592223803
Visa_status	0.00271583160401612	0.0233110614221931	0.00841631104789
Visa_mconsumototal	0.00270606211937356	0.00663551164366359	0.0116168800379327
mtransferencias_recibidas	0.00267694604371537	0.00644880030404131	0.0133949739212897
Visa_mpagospesos	0.00266679294454681	0.00924695789365544	0.0149359886201991
mtarjeta_master_consumo	0.0025308454770721	0.00977205272951825	0.00474158368895211
mtransferencias_emitidas	0.00242654610815989	0.0109941957730569	0.0128022759601707
ccallcenter_transacciones	0.00241221597639893	0.0100712406192519	0.00355618776671408
mttarjeta_visa_debitos_automaticos	0.00240988397818517	0.00684735868798208	0.00912754860123281
ccajas_transacciones	0.00197351982962677	0.00556249894390874	0.00260787102892366
Visa_mfinanciacion_limite	0.00194313879483364	0.00475335785598333	0.0100758653390232
ctransferencias_recibidas	0.00188035408125082	0.00661564340644505	0.00948316737790422
Visa_mconsumosdolares	0.00175611394015444	0.00671203513047512	0.00758653390232338
ctarjeta_visa_debitos_automaticos	0.0017535414341033	0.00493217199095014	0.00592697961119014
mcaja_ahorro_dolares	0.00169682508655918	0.00448365392937967	0.0086533902323376
Master_mlimitecompra	0.00168402709132648	0.00510158354992874	0.00758653390232338
Master_mconsumospesos	0.00165759986542648	0.00248905289970248	0.0042674253200569
ctransferencias_emitidas	0.00154545994857091	0.00473392391173336	0.00640113798008535
mextraccion_autoservicio	0.00151982386941345	0.012118457707477	0.0125651967757231
cextraccion_autoservicio	0.00131473669933065	0.0108029816413065	0.00936462778568042
Master_mpagominimo	0.00129080816885566	0.00238329057217267	0.0041488857278331
Visa_mlimitecompra	0.00126748705776614	0.00316871340239132	0.00592697961119014
Master_msaldopesos	0.00122082988671041	0.00619292181433279	0.00450450450450451
internet	0.00121940523309337	0.00615552199592906	0.00308202939781887
Master_mpagospesos	0.00120899636592752	0.0108543934027882	0.00616405879563774
ctarjeta_debito	0.00113511618163871	0.00282046372907954	0.00391180654338549
ctarjeta_master_transacciones	0.00108437062647864	0.00168888009479672	0.000948316737790422
Master_cconsumos	0.00100008595177897	0.00144887061687224	0.00284495021337127
catm_trx	0.000928235955814663	0.0093211367313115	0.00557136083451873
Master_msaldototal	0.000841206222312497	0.00368702207757347	0.00320056899004267
ccuenta_debitos_automaticos	0.000834240709515883	0.00108232468702571	0.00201517306780465
mplazo_fijo_dolares	0.000816298327652627	0.00897509848845318	0.00260787102892366
Master_mconsumototal	0.00069801331514917	0.00144949141602363	0.00201517306780465
mpagomiscuentas	0.000621960556962186	0.0025434620819795	0.0043859649122807
Visa_mpagado	0.000553736931618568	0.00437468902425342	0.00177809388335704
matm	0.000541028135816325	0.0026731824608797	0.0042674253200569
Visa_msaldodolares	0.000480759481685439	0.0044876558191882	0.00213371266002845
Master_mconsumosdolares	0.000475790821519084	0.000720265563063045	0.00189663347558084
ccaja_ahorro	0.000451795549174946	0.00735577987110068	0.00225225225225225
cpagomiscuentas	0.000336155740157022	0.000799328198334981	0.00189663347558084
Master_fultimo_cierre	0.0003198218906184	0.000752512482072826	0.00130393551446183
Visa_fultimo_cierre	0.000304347432335809	0.00119247790297393	0.00106685633001422
matm_other	0.000295146728826317	0.001916513555304	0.00154101469890944
Visa_mpagosdolares	0.00018501012010198	0.000352051735067285	0.000592697961119014
Visa_delinquency	0.000157357133557826	0.000927484589673529	0.000592697961119014
cseguro_vida	0.000151509176432644	0.00172293345940583	0.000592697961119014
Master_cadelantosefectivo	0.000108624644689916	7.2092632782504e-05	0.000237079184447606
catm_trx_other	7.64797425243491e-05	0.000642513799818939	0.000592697961119014
ccajas_extracciones	7.60774334629993e-05	0.000868053062330542	0.000237079184447606
Visa_cadelantosefectivo	7.46207126166295e-05	0.000517400123634416	0.000355618776671408
Master_mpagado	6.47515340716397e-05	0.000243443856062436	0.000237079184447606
Master_msaldodolares	5.83409205781906e-05	0.000117466922688855	0.000237079184447606
Master_mpagosdolares	5.07038889570003e-05	7.38777633895067e-05	0.000237079184447606
cseguro_accidentes_personales	4.62556347473249e-05	0.000263141573342392	0.000237079184447606
cplazo_fijo	3.26889434968361e-05	0.000330126601089636	0.000118539592223803
Master_delinquency	2.89091944761431e-05	4.43485059008345e-05	0.000118539592223803
Visa_madelantopesos	2.26960873198826e-05	0.000335567252879934	0.000237079184447606
Master_madelantopesos	1.52285135295249e-06	3.67577042600128e-05	0.000118539592223803
