fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 231143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	320	TRUE	912031	0.0210078438780477	0.64893663336134	4785	991	8691	26140000	33
20220928 231321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	171	TRUE	912031	0.0423048121200369	0.427755786586008	5317	803	9074	26100000	34
20220928 231552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	380	TRUE	912031	0.0273236260712938	0.590888890140799	5611	682	9215	26130000	35
20220928 232002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	594	TRUE	912031	0.0112563453575973	0.614623954491026	4921	817	6117	25690000	36
20220928 232030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	912031	0.231212500695641	0.615168007047428	4349	886	9043	25040000	37
20220928 232155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	912031	0.0333109825373732	0.655006777881764	4497	849	9035	25690000	38
20220928 232439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	259	TRUE	912031	0.0244981772613185	0.420365300014908	3176	714	8840	25920000	39
20220928 232659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	285	TRUE	912031	0.0242646472854085	0.81777128605217	5431	831	9076	26410000	40
20220928 233309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	966	TRUE	912031	0.0181218600221716	0.578369900398882	5325	897	10875	26090000	41
20220928 233534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	348	TRUE	912031	0.0235090947828092	0.595952497601524	6515	794	9012	26140000	42
20220928 234458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	990	TRUE	912031	0.00521393156280611	0.575744081747069	3785	456	8450	25820000	43
20220928 234818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	416	TRUE	912031	0.0238180207771209	0.486181038860639	5045	489	9596	26330000	44
20220928 235521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	589	TRUE	912031	0.00670906867597781	0.999314779219878	1818	728	8144	26600000	45
20220929 000057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	513	TRUE	912031	0.00652593007947311	0.99968291209606	2830	954	9028	26110000	46
20220929 000832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	689	TRUE	912031	0.00530100040977567	0.99998634836781	2360	559	7749	26030000	47
20220929 001446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1032	TRUE	912031	0.00640676028664721	0.674859751246269	5235	777	10024	26280000	48
20220929 001749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	466	TRUE	912031	0.0238808780346479	0.59183885777269	5060	761	8408	26150000	49
20220929 002052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	658	TRUE	912031	0.0251415237946629	0.628571626123937	7002	827	9160	26400000	50
20220929 002239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	912031	0.0249850848281694	0.66560179172561	3859	835	9046	25830000	51
20220929 002504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	912031	0.0186559917426293	0.997660682186621	2382	679	9565	26470000	52
20220929 002611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	912031	0.0663843975725804	0.67197669200552	4080	530	8053	26140000	53
20220929 002731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	912031	0.0451925510792185	0.641465622961031	5084	424	9350	26260000	54
20220929 003448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	957	TRUE	912031	0.00668959459058983	0.999346743596689	2844	748	10403	25680000	55
20220929 003655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	171	TRUE	912031	0.0289557523837065	0.965968783074233	1701	706	6612	26220000	56
20220929 004028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	912031	0.0233350625577735	0.509228021009717	5269	807	12667	25070000	57
20220929 004655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1037	TRUE	912031	0.005516761092431	0.737282286827653	5808	468	8831	26180000	58
20220929 004818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	912031	0.0906906571847561	0.428067584600719	3095	552	6444	24720000	59
20220929 005641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	621	TRUE	912031	0.0058473504747844	0.85998760729806	1551	901	8599	27050000	60
20220929 010210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	344	TRUE	912031	0.0112642457224576	0.99507864497886	1118	897	8550	26820000	61
20220929 010305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	912031	0.0867516075627009	0.951691744808285	1818	880	8421	25560000	62
20220929 011547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	905	TRUE	912031	0.00507303790391434	0.728868926105055	1096	917	8581	26360000	63
20220929 012716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	793	TRUE	912031	0.0051954791211665	0.911219318019	1512	843	8216	27490000	64
20220929 013629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	606	TRUE	912031	0.0056693786510558	0.871070217090771	1308	816	8714	26900000	65
20220929 013727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	912031	0.0908950552690044	0.986561746740609	3746	475	9754	25620000	66
20220929 015201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1761	TRUE	912031	0.00503817878244829	0.952772616662411	1720	852	6517	25850000	67
20220929 015526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	912031	0.0193084884685627	0.873793480624725	1405	814	7992	26980000	68
20220929 020202	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	406	TRUE	912031	0.00810499201744501	0.908834310115011	1255	857	9554	26580000	69
20220929 020247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	912031	0.102190528646174	0.607251139717987	5145	431	8809	25670000	70
20220929 020516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	912031	0.0196754669835526	0.895872165988026	3083	283	9148	25950000	71
20220929 021025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	600	TRUE	912031	0.0106256089044722	0.563653385690728	5237	938	9134	26620000	72
