Feature	Gain	Cover	Frequency
campo8_rank	0.0807755308106405	0.00886032700563824	0.00221543694582996
compromiso_rank	0.0541258755445551	0.0148647682731447	0.00777765069198216
mcaja_ahorro_rank	0.0408393076757951	0.0169675300391904	0.0218932910303398
campo1_rank	0.0383196612445386	0.00198939703370683	0.000969719875279105
mcuentas_saldo_rank	0.0342061333464409	0.0289827902839564	0.0218535076508412
monto_total_rank	0.0298791075788119	0.0140193403080128	0.0189145104903799
edad_sueldo_rank	0.0290555397605648	0.0260705951042104	0.0103387057472065
gastos_tc_rank	0.0289073793297031	0.0139098214642955	0.0143891510724107
mrentabilidad_annual_rank	0.022289534256206	0.0230011220759977	0.0173828503796826
campo12_rank	0.0214896018417307	0.0193431606023322	0.0226715533917818
has_payroll	0.019008935298208	0.00729760781925172	0.00188971052618492
mingresos	0.0189550282602838	0.0176347905486082	0.00941374217386331
monto_prod	0.018938748816775	0.0119217813227483	0.0163708606636862
mtarjeta_visa_consumo_rank	0.0182956967428784	0.012356694004115	0.0119922024576183
mprestamos_personales_rank	0.0154221831479428	0.0147055859766253	0.00636534071978079
mpayroll_rank	0.0149597003798092	0.0170646128987778	0.00940628279020732
cpayroll_trx_rank	0.0140815184959163	0.00737092482014031	0.00352331554684742
mdeuda_rank	0.0140131274548449	0.0115012375677997	0.00619128843447429
ctarjeta_visa_transacciones_rank	0.0132271257832951	0.0111395665692255	0.0117410698745332
balance_rank	0.0130851561565912	0.0162716604842113	0.0060296684552611
mactivos_margen_rank	0.0127762625488317	0.0145375046470974	0.0146054731984345
mcomisiones_mantenimiento_rank	0.0124319626970912	0.0162717724615577	0.00834207738861897
mrentabilidad_rank	0.0121290488610012	0.0123278983296432	0.0145557439740612
mv_msaldopesos_rank	0.0107777933788092	0.00789951721623656	0.0114277757609815
mcuenta_corriente_rank	0.0107619952422544	0.0092736935459114	0.0128152211209962
mv_msaldototal_rank	0.010290306957562	0.00911049906108045	0.01226819965289
mautoservicio_rank	0.00941750233727148	0.0155930519372325	0.0161197280806011
cliente_edad_rank	0.00900288158819009	0.0126074889335463	0.0185589465361109
mcomisiones_otras_rank	0.0084507280674837	0.0117789135590398	0.0144587719865333
mcomisiones_rank	0.00842867121492202	0.0112337300194259	0.0141230997220136
mv_mpagominimo_rank	0.0083038969936158	0.0103125118870743	0.0136307804007181
limite_ingresos_rank	0.00824695869873125	0.0103579466953552	0.00869266842045065
mvr_msaldopesos_rank	0.00814979205662521	0.0108248987283128	0.0129072201860868
cdescubierto_preacordado	0.00787192513246085	0.0124104836221705	0.00262570304690958
mvr_msaldototal_rank	0.00782344476637465	0.0132441213058765	0.0148740110100503
Visa_msaldopesos_rank	0.00768823081446349	0.00765559023071465	0.0105500549507929
mvr_msaldopesos2_rank	0.00762331385268751	0.0108923682455138	0.0137924003799313
mvr_mpagominimo_rank	0.00730402070562063	0.0100614648419808	0.0143269895419441
ccomisiones_mantenimiento	0.00705413315955509	0.0132138962539091	0.0040479588639856
campo9	0.00696400422288886	0.000739979464627756	0.000934909418217804
Master_Fvencimiento_rank	0.00680514854929039	0.00834811812839662	0.0117311240296585
Visa_fechaalta_rank	0.00648242762078448	0.0090828754828202	0.012335334105794
mv_Fvencimiento_rank	0.00634333688941419	0.00717460670307453	0.0117137188011279
numero_de_cliente	0.00612429351122372	0.00880884692035122	0.0146054731984345
desc_gastos_rank	0.00612121960506828	0.00285301048647819	0.00233727354554451
ctarjeta_debito_transacciones_rank	0.00599240253431495	0.0102894940437145	0.0141255861832323
mtransferencias_recibidas_rank	0.00592986674541388	0.0073120130716542	0.0140385600405791
Visa_msaldototal_rank	0.00590428979838544	0.00709006280678383	0.00954801107967119
Master_fechaalta_rank	0.00586898002296517	0.00971588675438623	0.0136183480946248
chomebanking_transacciones_rank	0.00580186950354988	0.00717696222653879	0.0114625862180428
fraccion_vida	0.00573825657942227	0.00813417207756173	0.0140161818896111
cliente_antiguedad_rank	0.00568889672383442	0.00717373554598121	0.0127804106639349
mv_fechaalta_rank	0.00564220186510566	0.00730097713761952	0.0123900362526046
cproductos	0.00563372766905039	0.00859129609878187	0.00831969923765099
has_debito_transacciones	0.00539697288857284	0.00489398958484105	0.00362277399559399
mvr_mpagospesos_rank	0.00524970053948378	0.00786648273263312	0.0121413901307381
Visa_Fvencimiento_rank	0.00524849476482332	0.00546739708125521	0.0106843238566008
f_ccomisiones_rank	0.00519210304807126	0.0101631584354573	0.0122035516612047
ctarjeta_visa	0.00496359924393331	0.00521185377911331	0.00174798223672105
ccaja_seguridad_rank	0.00491190542492576	0.0141699801660492	0.00189219698740359
ccomisiones_otras	0.00489897506100641	0.00935430173841727	0.0116167468136
ccajas_consultas_rank	0.00472601757096322	0.0105268436932021	0.00176041454281438
ctarjeta_master	0.00463385710516733	0.00297521276426492	0.0016957665511291
mvr_mconsumospesos_rank	0.00458580111107713	0.00965275785905282	0.0114526403731681
has_master	0.00454742072356787	0.00285460333090341	0.00145955273535599
mcuenta_debitos_automaticos_rank	0.00452312022864984	0.0105085160676513	0.00767819224323558
active_quarter	0.00442650611909683	0.000262862654728727	0.000348104570613012
Visa_mpagominimo_rank	0.00420859104772895	0.00804722833344052	0.0116266926584746
mv_mfinanciacion_limite_rank	0.0039440349154096	0.00472532087414368	0.00975438736082033
mv_mconsumospesos_rank	0.00385156366834172	0.00461169269510152	0.00864542565729602
has_visa	0.0037325116715103	0.00435261727419393	0.00139241828245205
mv_mlimitecompra_rank	0.0035324977477881	0.00437934936614025	0.00850867029026948
mtransferencias_emitidas_rank	0.00350099346242199	0.0082915134131846	0.0105152444937316
mvr_mconsumototal_rank	0.00336836815155315	0.00782400515942022	0.00896617915450373
mv_mpagospesos_rank	0.00334246732933527	0.00446823005174056	0.00838683369055493
Visa_mpagospesos_rank	0.00332440683192073	0.00570717057371897	0.00908801575421828
mv_mconsumototal_rank	0.0033215488660988	0.0036961174211677	0.00677560682086042
pagos_deb	0.00326579217284236	0.00479995977427123	0.00879461333041589
mttarjeta_visa_debitos_automaticos_rank	0.00325813934164812	0.00442863672836091	0.00741711381527582
ccajas_transacciones_rank	0.00321736125025019	0.00240582795403854	0.00106917832402568
Visa_mfinanciacion_limite_rank	0.0032130910657425	0.00425797075505442	0.00840921184152291
Master_mfinanciacion_limite_rank	0.0031011316507166	0.00391145102462616	0.00817051156453113
tcallcenter	0.00305530826728501	0.00949695887806953	0.00206624927271009
mv_cconsumos	0.00301152358433034	0.00429997742353401	0.00658663576824192
campo7_rank	0.00299782926411958	0.00121790161160253	0.00150182257607328
mcaja_ahorro_dolares_rank	0.00290541451202045	0.00489768600370123	0.00855342659220544
Visa_mconsumospesos_rank	0.00287519067952727	0.00410562574198052	0.00763094948008096
ctransferencias_recibidas_rank	0.00287131082307879	0.00620142708282639	0.00744943781111846
thomebanking_rank	0.00277321328220478	0.00357725180168942	0.00258343320619228
Master_mlimitecompra_rank	0.002754389208359	0.00353127576956792	0.00719084584437737
Visa_cconsumos	0.00256140573320685	0.00374700979201935	0.00568653680708542
Visa_mlimitecompra_rank	0.00246465147464802	0.00349090660314571	0.006504582548026
mpagomiscuentas_rank	0.00222893189675298	0.00410717559510312	0.00594264231260785
cextraccion_autoservicio	0.00220706637906805	0.0108672223326745	0.00874737056726126
mextraccion_autoservicio_rank	0.00220584274611132	0.00887067257933672	0.00879958625285321
Visa_mconsumototal_rank	0.00219759957929433	0.00296900202073353	0.00558459189712018
cmobile_app_trx_rank	0.0020913911662302	0.00365439319554831	0.00297878053995992
internet	0.0018828522940388	0.0078956088402565	0.0016957665511291
tmobile_app	0.0018400870564566	0.009961698691905	0.0013402025968601
ctarjeta_visa_debitos_automaticos	0.00180110075060797	0.00275620823678852	0.00352828846928474
ccuenta_debitos_automaticos	0.00173150016162024	0.00536144251646408	0.00398579733351899
ctransferencias_emitidas_rank	0.00172040143648039	0.00382225873539836	0.0054925928320296
cdebitos_aut	0.00163280372785156	0.00238260631857365	0.00450298126700118
mvr_msaldodolares2_rank	0.00147931367794581	0.00422914008766181	0.00319758912720238
mtarjeta_master_consumo_rank	0.00141153984704791	0.0028004279575551	0.00271024272834417
cpagomiscuentas	0.00133563379563123	0.00246974319029073	0.00381423150943115
has_visa_transacciones	0.00133308888432243	0.00208514966240745	0.00134268905807876
ctarjeta_debito	0.00126110877977704	0.00158254467557771	0.00241186738210444
ccaja_ahorro	0.00125063442280145	0.00610439088046667	0.00168084778381712
catm_trx_rank	0.00116458427812225	0.00641065542141453	0.00525140609381915
Master_msaldopesos_rank	0.00115054821924939	0.00321212750173768	0.00277240425881078
matm_rank	0.00114688618621901	0.00551887949940362	0.00606447891232241
Master_msaldototal_rank	0.00111528950053932	0.00349168127975758	0.00264559473665889
Master_mpagospesos_rank	0.00106134599486213	0.00192571291736444	0.00264062181422156
Master_mpagominimo_rank	0.00105998822531046	0.00230080786686396	0.00265802704275221
